"Arrival/Departure","Port","ShipType","Flag","Ship_Name","Owners","Captain","Captain2","Year","Month","Day","Origin","DestinationDecl","Crew","Days Voyage","Itinerary","Arribada","Date_of_Depart_Origin","Source","Genral_notes","Cargo","Molasses","MolassesUnit","Sugar","SugarUnit","Flour","FlourUnites","Hides","HidesUnit","Coffee","CoffeeUnit","Coal","CoalUnit","VAR00007","VAR00008","VAR00009","VAR00010"
"Arrival","Norfolk",NA,NA,"Carlton",NA,NA,NA,1802,12,30,"Liverpool","Norfolk",NA,74,NA,NA,NA,"Massachusetts Mercury","12.28 or 12.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Norfolk",NA,NA,"Hercules",NA,NA,NA,1802,12,30,"Bourdeaux","Norfolk",NA,73,NA,NA,NA,"Massachusetts Mercury","12.28 or 12.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Norfolk",NA,NA,"Flora",NA,NA,NA,1802,12,30,"Guernsey","Norfolk",NA,49,NA,NA,NA,"Massachusetts Mercury","12.28 or 12.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Norfolk",NA,NA,"Gen. Carleton",NA,NA,NA,1802,12,30,"Glasgow","Norfolk",NA,30,NA,NA,NA,"Massachusetts Mercury","12.28 or 12.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Norfolk",NA,NA,"Eliza",NA,NA,NA,1802,12,30,"Turks Island","Norfolk",NA,16,NA,NA,NA,"Massachusetts Mercury","12.28 or 12.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Norfolk",NA,NA,"Triton",NA,NA,NA,1802,12,30,"London","Norfolk",NA,77,NA,NA,NA,"Massachusetts Mercury","12.28 or 12.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Norfolk",NA,NA,"Young Edward",NA,NA,NA,1802,12,30,"Bourdeaux","Norfolk",NA,NA,NA,NA,NA,"Massachusetts Mercury","12.28 or 12.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Norfolk",NA,NA,"Mary",NA,NA,NA,1802,12,30,"Cape Francoise","Norfolk",NA,16,NA,NA,NA,"Massachusetts Mercury","12.28 or 12.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Norfolk",NA,NA,"Elizabeth",NA,NA,NA,1802,12,30,"Tortola","Norfolk",NA,34,NA,NA,NA,"Massachusetts Mercury","12.28 or 12.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Norfolk",NA,NA,"Two Brothers",NA,NA,NA,1802,12,30,"Guernsey","Norfolk",NA,74,NA,NA,NA,"Massachusetts Mercury","12.28 or 12.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Norfolk",NA,NA,"Sophia",NA,NA,NA,1802,12,30,"Guernsey","Norfolk",NA,54,NA,NA,NA,"Massachusetts Mercury","12.28 or 12.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Norfolk",NA,NA,"Hope",NA,NA,NA,1802,12,30,"Barbadoes","Norfolk",NA,37,NA,NA,NA,"Massachusetts Mercury","12.28 or 12.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Norfolk",NA,NA,"Richard",NA,NA,NA,1802,12,30,"Curracoa","Norfolk",NA,55,NA,NA,NA,"Massachusetts Mercury","12.28 or 12.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Norfolk",NA,NA,"Hopewell",NA,NA,NA,1802,12,30,"Grenada","Norfolk",NA,30,NA,NA,NA,"Massachusetts Mercury","12.28 or 12.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Norfolk",NA,NA,"Parke Farley",NA,NA,NA,1802,12,30,"Antigua","Norfolk",NA,16,NA,NA,NA,"Massachusetts Mercury","12.28 or 12.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Norfolk",NA,NA,"Hope",NA,NA,NA,1802,12,30,"Anguilla","Norfolk",NA,27,NA,NA,NA,"Massachusetts Mercury","12.28 or 12.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Norfolk",NA,NA,"Charlotte",NA,NA,NA,1802,12,30,"Port Republican","Norfolk",NA,33,NA,NA,NA,"Massachusetts Mercury","12.28 or 12.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Norfolk",NA,NA,"Betsey and Fanny",NA,NA,NA,1802,12,30,"Barbadoes","Norfolk",NA,31,NA,NA,NA,"Massachusetts Mercury","12.28 or 12.30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Norfolk",NA,NA,"Mercury",NA,NA,NA,1802,12,30,"Norfolk","Boston",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Norfolk",NA,NA,"Eliza",NA,NA,NA,1802,12,30,"Norfolk","Boston",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Norfolk",NA,NA,"Favorite",NA,NA,NA,1802,12,30,"Norfolk","Bourdeaux",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Norfolk",NA,NA,"Greyhound",NA,NA,NA,1802,12,30,"Norfolk","Barbadoes",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Norfolk",NA,NA,"Eliza",NA,NA,NA,1802,12,30,"Norfolk","West-Indies",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Boston","ship",NA,"Lucia",NA,"Cook",NA,1803,1,14,"Mediterranean","Boston",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Boston","schooner",NA,"Deborah",NA,"Holland",NA,1803,1,14,"Madeira","Boston",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,"22 pipes old London particular Madeira; 2 half pipes old London particular Madeira; 8 qr. casks old London particular Madeira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Boston","schooner",NA,"Nancy",NA,"Colesworthy",NA,1803,1,14,"Martinico","Boston",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Boston","brig",NA,"Rover",NA,"Luce",NA,1803,1,17,"Richmond","Boston",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Boston","ship",NA,"Dispatch",NA,"Marshall",NA,1803,1,17,"Boston","West-Indies",NA,NA,NA,NA,NA,"Massachusetts Mercury","no specific date of departure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Boston","brig",NA,"Hannah",NA,NA,NA,1803,1,17,"Boston","St. Sebastian",NA,NA,NA,NA,NA,"Massachusetts Mercury","no specific date of departure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Boston","ship",NA,"Lewis",NA,"Orrl",NA,1803,1,17,"Boston","Bristol",NA,NA,NA,NA,NA,"Massachusetts Mercury","no specific date of departure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Boston","brig",NA,"Industry",NA,"Smith",NA,1803,1,17,"Boston","West-Indies",NA,NA,NA,NA,NA,"Massachusetts Mercury","no specific date of departure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Boston","schooner",NA,"James",NA,"Rogers",NA,1803,1,17,"Boston","Gibraltar",NA,NA,NA,NA,NA,"Massachusetts Mercury","no specific date of departure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Boston","schooner",NA,"Hancock",NA,"St. Hud[…]ock",NA,1803,1,17,"Boston","St. Andrews",NA,NA,NA,NA,NA,"Massachusetts Mercury","no specific date of departure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Norfolk",NA,NA,"Mary",NA,NA,NA,1803,1,1,"Cape Francoise","Norfolk",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Norfolk",NA,NA,"Fishhawk",NA,NA,NA,1803,1,1,"Martinico","Norfolk",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Norfolk",NA,NA,"Virginia",NA,NA,NA,1803,1,1,"Cape Francoise","Norfolk",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Norfolk",NA,NA,"President",NA,NA,NA,1803,1,1,"Monserrat","Norfolk",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
