Arrival/Departure,Port,ShipType,Flag,Ship_Name,Owners,Captain,Captain2,Year,Month,Day,Origin,DestinationDecl,Crew,Days Voyage,Itinerary,Arribada,Date_of_Depart_Origin,Source,Genral_notes,Cargo,Molasses,MolassesUnit,Sugar,SugarUnit,Flour,FlourUnites,Hides,HidesUnit,Coffee,CoffeeUnit,Coal,CoalUnit,VAR00007,VAR00008,VAR00009,VAR00010
Departure,Boston,ship,,St. Thomas,,Auguine,,1803,1.0,20.0,Boston,Havana,,,,,,Massachusetts Mercury,no specific date of departure,,,,,,,,,,,,,,,,,
Departure,Boston,schooner,,Four Brothers,,Rice,,1803,1.0,20.0,Boston,Martinico,,,,,,Massachusetts Mercury,no specific date of departure,,,,,,,,,,,,,,,,,
Arrival,Portland,,,Lively,,"Warner, of Gloucester",,1803,1.0,17.0,Cadiz,Portland,,60.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Portland,,,Nabby,,M' Lellan,,1803,1.0,17.0,Trinadad,Portland,,22.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Portland,,,Vigilant,,,,1803,1.0,17.0,Trinadad,Portland,,53.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Baltimore,brig,,Delaware,,,,1803,1.0,10.0,St. Croix,Baltimore,,20.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Boston,ship,,Mary Someruolon,,Estervan,,1803,1.0,21.0,Havana,Boston,,29.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Boston,schooner,,Liberty,,Downe,,1803,1.0,21.0,St. Croix,Boston,,22.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Boston,brig,,Laurel,,Helms,,1803,1.0,22.0,Martinico,Boston,,22.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Boston,brig,,Pacific,,Hastings,,1803,1.0,22.0,Jamaica,Boston,,32.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Boston,schooner,,Eliza,,Rich,,1803,1.0,22.0,Martinico,Boston,,22.0,,,,Massachusetts Mercury,,96 hhds. Martinico molasses,,,,,,,,,,,,,,,,
Departure,Boston,brig,,Success,,Dogget,,1803,1.0,24.0,Boston,Amsterdam,,,,,,Massachusetts Mercury,no specific date of departure,,,,,,,,,,,,,,,,,
Departure,Boston,brig,,Salem,,Nickerson,,1803,1.0,24.0,Boston,West-Indies,,,,,,Massachusetts Mercury,no specific date of departure,,,,,,,,,,,,,,,,,
Departure,Boston,schooner,,Little John,,Baker,,1803,1.0,24.0,Boston,West-Indies,,,,,,Massachusetts Mercury,no specific date of departure,,,,,,,,,,,,,,,,,
Arrival,Plymouth,,,Yarnouth,,Atwood,,1803,1.0,22.0,Martinico,Plymouth,,27.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Plymouth,,,Swan,,Warren,,1803,1.0,22.0,West-Indies,Plymouth,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Boston,schooner,,Fame,,Lombard,,1803,1.0,26.0,Norfolk,Boston,,4.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Boston,schooner,,Friendship,,Snow,,1803,1.0,27.0,Richmond,Boston,,8.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Boston,brig,,William & Thomas,,Topliff,,1803,1.0,27.0,Boston,West-Indies,,,,,,Massachusetts Mercury,no specific date of departure,,,,,,,,,,,,,,,,,
Departure,Boston,schooner,,Sally,,Thomas,,1803,1.0,27.0,Boston,St. Johns,,,,,,Massachusetts Mercury,no specific date of departure,,,,,,,,,,,,,,,,,
Arrival,Boston,schooner,,Fanny,,Son[…],,1803,1.0,29.0,Baltimore,Boston,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Boston,brig,,Henry,,Jones,,1803,1.0,30.0,St. Croix,Boston,,44.0,Vineyard,,,Massachusetts Mercury,,"60 punchs St. Croix rum, of excellent quality; 25 hhds. St. Croix sugars",,,,,,,,,,,,,,,,
Arrival,Boston,brig,,Washington,,,,1803,1.0,30.0,Lisbon,Boston,,,Provincetown,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Boston,ship,,Brutus,,Southworth,,1803,1.0,31.0,Boston,Liverpool,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Boston,ship,,Rover,,Goodwin,,1803,1.0,31.0,Boston,Amsterdam,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,New York,,,Comet,,,,1803,1.0,26.0,Charleston,New York,,4.0,,,,Massachusetts Mercury,1.11 or 1.18,,,,,,,,,,,,,,,,,
Arrival,New York,,,Olympus,,Allen,,1803,1.0,26.0,New Bedford,New York,,12.0,,,,Massachusetts Mercury,1.11 or 1.18,,,,,,,,,,,,,,,,,
Arrival,New York,,,Mercury,,Beattey,,1803,1.0,26.0,St. Johns,New York,,40.0,,,,Massachusetts Mercury,1.11 or 1.18,,,,,,,,,,,,,,,,,
Arrival,Charleston,,,Shepherdess,,Crowel,,1803,1.0,18.0,Boston,Charleston,,16.0,,,,Massachusetts Mercury,1.11 or 1.18,,,,,,,,,,,,,,,,,
Arrival,Charleston,,,Good Intent,,,,1803,1.0,18.0,Cape Francoise,Charleston,,7.0,,,,Massachusetts Mercury,1.11 or 1.18,,,,,,,,,,,,,,,,,
Arrival,Charleston,,,Russell,,,,1803,1.0,18.0,London,Charleston,,57.0,,,,Massachusetts Mercury,1.11 or 1.18,,,,,,,,,,,,,,,,,
Arrival,Charleston,,,Wm & Mary,,,,1803,1.0,18.0,Amsterdam,Charleston,,46.0,,,,Massachusetts Mercury,1.11 or 1.18,,,,,,,,,,,,,,,,,
Arrival,Charleston,,,Derdrag,,,,1803,1.0,18.0,Bourdeaux,Charleston,,47.0,,,,Massachusetts Mercury,1.11 or 1.18,,,,,,,,,,,,,,,,,
Arrival,Charleston,,,Julian,,,,1803,1.0,18.0,Boston,Charleston,,25.0,,,,Massachusetts Mercury,1.11 or 1.18,,,,,,,,,,,,,,,,,
Arrival,Charleston,,,Unanimity,,,,1803,1.0,18.0,St. Thomas,Charleston,,,,,,Massachusetts Mercury,1.11 or 1.18,,,,,,,,,,,,,,,,,
Departure,Charleston,,,Golden Age,,Nve,,1803,1.0,18.0,Charleston,Liverpool,,,,,,Massachusetts Mercury,1.11 or 1.18,,,,,,,,,,,,,,,,,
Departure,Charleston,,,Mary,,Richards,,1803,1.0,18.0,Charleston,Cape Francoise,,,,,,Massachusetts Mercury,1.11 or 1.18,,,,,,,,,,,,,,,,,
Departure,Charleston,,,Mars,,,,1803,1.0,18.0,Charleston,Liverpool,,,,,,Massachusetts Mercury,1.11 or 1.18,,,,,,,,,,,,,,,,,
Departure,Charleston,,,Two Friends,,,,1803,1.0,18.0,Charleston,London,,,,,,Massachusetts Mercury,1.11 or 1.18,,,,,,,,,,,,,,,,,
Departure,Charleston,,,Washington,,,,1803,1.0,18.0,Charleston,Martinique,,,,,,Massachusetts Mercury,1.11 or 1.18,,,,,,,,,,,,,,,,,
Departure,Charleston,,,Robey,,Johnson,,1803,1.0,18.0,Charleston,Portsmouth,,,,,,Massachusetts Mercury,1.11 or 1.18,,,,,,,,,,,,,,,,,
Departure,Charleston,,,Thetis,,,,1803,1.0,18.0,Charleston,Bourdeaux,,,,,,Massachusetts Mercury,1.11 or 1.18,,,,,,,,,,,,,,,,,
Arrival,Savannah,,,Aimwell,,,,1803,1.0,13.0,Greenock,Savannah,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Savannah,,,Experiment,,,,1803,1.0,13.0,Jamaica,Savannah,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Savannah,,,Beaver,,,,1803,1.0,13.0,Cape Francoise,Savannah,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Savannah,,,Traveller,,,,1803,1.0,13.0,Jamaica,Savannah,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Savannah,,,Two Sisters,,,,1803,1.0,13.0,Salem,Savannah,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Savannah,,,Alexander,,,,1803,1.0,13.0,Savannah,London,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Savannah,,,Polly,,,,1803,1.0,13.0,Savannah,Antigua,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Savannah,,,Matilda,,,,1803,1.0,13.0,Savannah,Martinique,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Boston,ship,,Four Friends,,Whitmarsh,,1803,2.0,3.0,Demerara,Boston,,32.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Baltimore,,,Ethan Allen,,Buel,,1803,1.0,25.0,Boston,Baltimore,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Baltimore,,,Andls,,,,1803,1.0,25.0,Baltimore,Martinique,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Boston,sloop,,Ceiterion,,Drinkwater,,1803,2.0,5.0,Wilmington,Boston,,14.0,,,,Massachusetts Mercury,with naval forces,"400 bbls tar, in large casks; 10 half tierces rice",,,,,,,,,,,,,,,,
Arrival,Boston,schooner,,Eliza,,Banks,,1803,2.0,6.0,Norfolk,Boston,,6.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Boston,sloop,,Friendship,,,,1803,2.0,6.0,New York,Boston,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Boston,schooner,,Ann,,Cottle,,1803,2.0,7.0,Savannah,Boston,,20.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Boston,schooner,,Sukey,,Kendrick,,1803,2.0,7.0,Wilmington,Boston,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Boston,ship,,George and Harriot,,Allen,,1803,2.0,7.0,Boston,West-Indies,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Boston,schooner,,Fanny,,Goodrich,,1803,2.0,7.0,Boston,West-Indies,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Boston,ship,,Hope,,Ripley,,1803,2.0,7.0,Boston,Liverpool,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Boston,brig,,Nancy,,Ward,,1803,2.0,7.0,Boston,Liverpool,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Charleston,,,La Amiable Theresa,,Benoist,,1803,1.0,19.0,Cape Francoise,Charleston,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Savannah,brig,,Laurel,,Helms,,1803,2.0,10.0,Boston,Savannah,,,,,,Massachusetts Mercury,announced by telegraph,,,,,,,,,,,,,,,,,
Arrival,Vineyard,schooner,,Fishhawk,,Cook,,1803,2.0,10.0,West-Indies,Salem,,,,,,Massachusetts Mercury,announced by telegraph,,,,,,,,,,,,,,,,,
Departure,Boston,brig,,Dovt,,Atkins,,1803,2.0,10.0,Boston,Havana,,,,,,Massachusetts Mercury,no specific date of departure,,,,,,,,,,,,,,,,,
Departure,Boston,,,Marcia,,Cole,,1803,2.0,10.0,Boston,Tobago,,,,,,Massachusetts Mercury,no specific date of departure,,,,,,,,,,,,,,,,,
Departure,Boston,brig,,St. Fermin,,Foral,,1803,2.0,10.0,Boston,Havana,,,,,,Massachusetts Mercury,no specific date of departure,,,,,,,,,,,,,,,,,
Arrival,Norfolk,,,Betsey,,Kempton,,1803,1.0,25.0,Tobago,Norfolk,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Norfolk,,,Perseverance,,Coggeshall,,1803,1.0,25.0,Rotterdam,Norfolk,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Norfolk,,,Juno,,Ellery,,1803,1.0,25.0,Portsmouth,Norfolk,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Norfolk,,,Wm & Mary,,Dickson,,1803,1.0,25.0,Norfolk,Cadiz,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Norfolk,,,George,,Taylor,,1803,1.0,25.0,Norfolk,Martinique,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Norfolk,,,Hannah,,Bartlett,,1803,1.0,25.0,Norfolk,Cadiz,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Norfolk,,,Hope,,M' Kenzie,,1803,1.0,25.0,Norfolk,Barbadoes,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Norfolk,,,Anna,,Darrell,,1803,1.0,25.0,Norfolk,St. Thomas,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Norfolk,,,Fishhawk,,Allen,,1803,1.0,25.0,Norfolk,West-Indies,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Boston,brig,,Jane,,Snow,,1803,2.0,12.0,Havana,Boston,,20.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Boston,brig,,Ranger,,Hooper,,1803,2.0,12.0,Barbadoes,Boston,,23.0,,,,Massachusetts Mercury,,54 barrels sugars; 5 hogsheads sugars; 11 hhds. West-India rum,,,,,,,,,,,,,,,,
Arrival,Boston,brig,,Eleanor,,Hodgkins,,1803,2.0,12.0,Savannah,Boston,,9.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Boston,schooner,,Rover,,Nickerson,,1803,2.0,12.0,Norfolk,Boston,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Boston,brig,,"Recovery, of Castine",,Wadsworth,,1803,2.0,13.0,Liverpool,Boston,,126.0,Western Island,,,Massachusetts Mercury,60 days from Western Island,,,,,,,,,,,,,,,,,
Arrival,Boston,sloop,,President,,Sturgis,,1803,2.0,13.0,New York,Boston,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Boston,,,Caroline,,Slocum,,1803,2.0,13.0,Alexandria,Boston,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Boston,brig,,Mercury,,Porter,,1803,2.0,14.0,Boston,Amsterdam,,,,,,Massachusetts Mercury,no specific date of departure,,,,,,,,,,,,,,,,,
Arrival,Philadelphia,,,Sally,,Smith,,1803,2.0,7.0,Portsmouth,Philadelphia,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Philadelphia,,,Sincerity,,Wright,,1803,2.0,7.0,Barbadoes,Philadelphia,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Alexandria,,,Hunter,,,,1803,2.0,2.0,West-Indies,Alexandria,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,New York,,,Eliza,,Ricker,,1803,2.0,9.0,Demerara,New York,,30.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Boston,schooner,,Hannah,,R[…]straw,,1803,2.0,15.0,Halifax,Boston,,30.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Boston,ship,,Alknomae,,Cleaveland,,1803,2.0,16.0,Rotterdam,Boston,,45.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Boston,schooner,,Nancy,,Goddard,,1803,2.0,16.0,Guadaloupe,Boston,,,,,,Massachusetts Mercury,,16000 wt. coffee; 27 hhds. clayed sugars; 27 bbls. clayed sugars; few hhds. molasses,,,,,,,,,,,,,,,,
