Location,Latitude,Longitude
Grand Bank,47.1006595,-55.7544263
Jeremie,18.6445835,-74.1139182
Alexandra,-26.104444,28.098889
Cape Briton,51.6399414,-3.8452734
Mississippi,32.9715285,-89.7348497
Flushing,51.4480929,3.5697992
Doake,-44.2856358,171.1290016
St. Jago,12.1050384,-68.9235005
Medeira,50.4583664,30.4086508
london,51.5074456,-0.1277653
Jersey,49.2214561,-2.1358386
St. An[…],-1.6937786,120.8088555
Hull,53.7623862,-0.3301214
St. Iago,51.5031295,-0.133165
Cowes,50.7633176,-1.2985186
10,48.3201921,4.1905397
Brest,48.3905283,-4.4860088
Nova Scotia,45.1960403,-63.1653789
East Port,55.9452585,-2.7706677
Mocha,-1.4191002,-78.6615418
Amero,2.116667,33.766667
Pt. Petre,43.8394425,-77.1528237
St. […]ia,42.273119,-95.0920855
Cape Forchu,43.8069867,-66.1585824
Gaspee,38.528333,-89.8747021
Albany,42.6511674,-73.754968
Bordeaux river,-33.7550802,20.1088806
Trinity,31.0834452,-95.1219348
Placentia,44.8476352,9.6665313
Labradore,37.3256173,-79.8790572
Beacon Island,35.0981014,-76.0470823
Bahamas,24.7736546,-78.0000547
Trieste,45.6496485,13.7772781
St. Petre,59.9500646,30.311686
Hudson and New York,41.6184304,-74.4517355
Gonaives,19.4460597,-72.6884336
England,52.5310214,-1.2649062
St Jago,12.1050384,-68.9235005
Mocoa,1.1466295,-76.6482327
St. Helena,-15.9654552,-5.7025756
Montego Bay,18.4724603,-77.9217357
Barracoa,-15.5347169,-73.0926924
Marseilles,43.2961743,5.3699525
Arichat,45.512036,-61.015145
New Castle,40.9999202,-80.3471856
St. Fago,33.3337542,44.4145612
Castle,51.6247029,-3.9454009
Rochelle,41.9239178,-89.0687074
Gibralter,37.3422707,-87.930851
North West Coast of America,34.1446188,-119.1708293
St. Sebastian,49.4892241,8.4667517
Western Islands,45.0840128,-80.3005442
Rio de la Plata,-35.13352,-56.2743702
Somerset,51.1617509,-3.0753867
Cows,51.5222065,-0.0679291
Vineyard,38.4671207,-121.334754
India,22.3511148,78.6677428
Dunkirk,51.0347708,2.3772525
Portugal,39.6621648,-8.1353519
Boudeaux,46.3988154,3.9109236
West Indies,0.5173804,35.2612102
Loftus-Heights,-34.5660751,150.8478407
Missisippi,36.7317252,-3.6883363
Milford Haven,51.7117492,-5.0293161
Shelburne,43.7639539,-65.321384
Europe,51.0,10.0
Picton,-41.290916,174.006908
Anvers,51.2211097,4.3997081
Stonington,41.3359327,-71.9059042
Newcastle,54.9738474,-1.6131572
South Sea and China,16.3211814,111.9789227
West Canton,35.538788,-82.8664832
East Indies,9.9647619,76.2389577
Argyle,33.110156,-97.1797576
Cape of Good Hope,-34.35811,18.47193
Cavello,37.977113,23.7384556
Montserrat,16.7417041,-62.1916844
Westmoreland,40.2930159,-79.4873204
South Sea,26.617261,-80.2310965
Annapolis Royal,44.7419775,-65.5160971
st. […],0.9713095,7.02255
Bermuda and Jamaica,18.0476678,-76.7195164
Africa,11.5024338,17.7578122
Gravesend,51.4424747,0.3694468
Dover,51.1251275,1.3134228
Clyde,32.4059605,-99.4936912
Sydney,-33.8698439,151.2082848
[…]mouth,51.5042562,-0.0146705
Weymouth,50.6096257,-2.4543424
Barrington,42.1539141,-88.1361888
Pool,-3.7298545,15.053872
Triest,45.6496485,13.7772781
Sigourney,41.3330944,-92.2049364
Smyrna,38.23166,27.02997
St. Mary,29.692329,-91.442465
